Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description,MetaData_requisition:serviceId,MetaData_requisition:serviceName,MetaData_requisition:customerId,MetaData_requisition:customerName
ONT_10001308033,ONT_10001308033,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308034,ONT_10001308034,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308035,ONT_10001308035,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001311650,ONT_10001311650,Default,,,254.0.0.1,N,,ONT,,,,,50.9242816,-1.375671,,,,,,,,,,,,
ONT_10001311651,ONT_10001311651,Default,,,254.0.0.1,N,,ONT,,,,,50.9242816,-1.375671,,,,,,,,,,,,
ONT_10001312050,ONT_10001312050,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312051,ONT_10001312051,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312052,ONT_10001312052,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312053,ONT_10001312053,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312054,ONT_10001312054,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312055,ONT_10001312055,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312056,ONT_10001312056,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312057,ONT_10001312057,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312058,ONT_10001312058,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312059,ONT_10001312059,Default,,,254.0.0.1,N,,ONT,,,,,50.9249059,-1.3797177,,,,,,,,,,,,
ONT_10001312060,ONT_10001312060,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312061,ONT_10001312061,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312062,ONT_10001312062,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312063,ONT_10001312063,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312064,ONT_10001312064,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312065,ONT_10001312065,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312066,ONT_10001312066,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312067,ONT_10001312067,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312068,ONT_10001312068,Default,,,254.0.0.1,N,,ONT,,,,,50.9247349,-1.3796915,,,,,,,,,,,,
ONT_10001312069,ONT_10001312069,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312070,ONT_10001312070,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312071,ONT_10001312071,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312072,ONT_10001312072,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312073,ONT_10001312073,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312074,ONT_10001312074,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312075,ONT_10001312075,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312076,ONT_10001312076,Default,,,254.0.0.1,N,,ONT,,,,,50.9246094,-1.3797785,,,,,,,,,,,,
ONT_10001312077,ONT_10001312077,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312078,ONT_10001312078,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312079,ONT_10001312079,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312080,ONT_10001312080,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312081,ONT_10001312081,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312082,ONT_10001312082,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312083,ONT_10001312083,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312084,ONT_10001312084,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312085,ONT_10001312085,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312086,ONT_10001312086,Default,,,254.0.0.1,N,,ONT,,,,,50.9246383,-1.3801339,,,,,,,,,,,,
ONT_10001312155,ONT_10001312155,Default,,,254.0.0.1,N,,ONT,,,,,50.923116,-1.3763126,,,,,,,,,,,,
ONT_10001312160,ONT_10001312160,Default,,,254.0.0.1,N,,ONT,,,,,50.9228012,-1.3762884,,,,,,,,,,,,
ONT_10001312161,ONT_10001312161,Default,,,254.0.0.1,N,,ONT,,,,,50.922605,-1.376604,,,,,,,,,,,,
ONT_10001312162,ONT_10001312162,Default,,,254.0.0.1,N,,ONT,,,,,50.9230923,-1.3769105,,,,,,,,,,,,
ONT_10001312163,ONT_10001312163,Default,,,254.0.0.1,N,,ONT,,,,,50.923157,-1.3772369,,,,,,,,,,,,
ONT_10001312167,ONT_10001312167,Default,,,254.0.0.1,N,,ONT,,,,,50.923247,-1.3772499,,,,,,,,,,,,
ONT_10001312168,ONT_10001312168,Default,,,254.0.0.1,N,,ONT,,,,,50.923301,-1.3772634,,,,,,,,,,,,
ONT_10001312633,ONT_10001312633,Default,,,254.0.0.1,N,,ONT,,,,,50.9234331,-1.3767352,,,,,,,,,,,,
ONT_10001312634,ONT_10001312634,Default,,,254.0.0.1,N,,ONT,,,,,50.923722,-1.3769448,,,,,,,,,,,,
ONT_10001312635,ONT_10001312635,Default,,,254.0.0.1,N,,ONT,,,,,50.9237412,-1.3771722,,,,,,,,,,,,
ONT_10001312636,ONT_10001312636,Default,,,254.0.0.1,N,,ONT,,,,,50.9236731,-1.3762198,,,,,,,,,,,,
ONT_10001312637,ONT_10001312637,Default,,,254.0.0.1,N,,ONT,,,,,50.9234753,-1.3762225,,,,,,,,,,,,
ONT_10001316555,ONT_10001316555,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316556,ONT_10001316556,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316557,ONT_10001316557,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316558,ONT_10001316558,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316559,ONT_10001316559,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316560,ONT_10001316560,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316561,ONT_10001316561,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316562,ONT_10001316562,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316563,ONT_10001316563,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316564,ONT_10001316564,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316565,ONT_10001316565,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316566,ONT_10001316566,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316567,ONT_10001316567,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316569,ONT_10001316569,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316570,ONT_10001316570,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316571,ONT_10001316571,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316572,ONT_10001316572,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316573,ONT_10001316573,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316574,ONT_10001316574,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316575,ONT_10001316575,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316576,ONT_10001316576,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316577,ONT_10001316577,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316578,ONT_10001316578,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316579,ONT_10001316579,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316580,ONT_10001316580,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316581,ONT_10001316581,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316582,ONT_10001316582,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316583,ONT_10001316583,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316584,ONT_10001316584,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316585,ONT_10001316585,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316586,ONT_10001316586,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316587,ONT_10001316587,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316588,ONT_10001316588,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316589,ONT_10001316589,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316590,ONT_10001316590,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001316591,ONT_10001316591,Default,,,254.0.0.1,N,,ONT,,,,,50.9225194,-1.3740584,,,,,,,,,,,,
ONT_10001317113,ONT_10001317113,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317114,ONT_10001317114,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317115,ONT_10001317115,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317116,ONT_10001317116,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317117,ONT_10001317117,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317118,ONT_10001317118,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317119,ONT_10001317119,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317120,ONT_10001317120,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317121,ONT_10001317121,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317122,ONT_10001317122,Default,,,254.0.0.1,N,,ONT,,,,,50.9214691,-1.3727209,,,,,,,,,,,,
ONT_10001317215,ONT_10001317215,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317216,ONT_10001317216,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317217,ONT_10001317217,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317218,ONT_10001317218,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317219,ONT_10001317219,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317220,ONT_10001317220,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317221,ONT_10001317221,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317222,ONT_10001317222,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317223,ONT_10001317223,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317224,ONT_10001317224,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317225,ONT_10001317225,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317226,ONT_10001317226,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317227,ONT_10001317227,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317228,ONT_10001317228,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317229,ONT_10001317229,Default,,,254.0.0.1,N,,ONT,,,,,50.925372,-1.3693958,,,,,,,,,,,,
ONT_10001317283,ONT_10001317283,Default,,,254.0.0.1,N,,ONT,,,,,50.926608,-1.3718122,,,,,,,,,,,,
ONT_10001317312,ONT_10001317312,Default,,,254.0.0.1,N,,ONT,,,,,50.9230219,-1.3738525,,,,,,,,,,,,
ONT_10001317313,ONT_10001317313,Default,,,254.0.0.1,N,,ONT,,,,,50.9230219,-1.3738525,,,,,,,,,,,,
ONT_10001317314,ONT_10001317314,Default,,,254.0.0.1,N,,ONT,,,,,50.9230219,-1.3738525,,,,,,,,,,,,
ONT_10001317315,ONT_10001317315,Default,,,254.0.0.1,N,,ONT,,,,,50.9230219,-1.3738525,,,,,,,,,,,,
ONT_10001317316,ONT_10001317316,Default,,,254.0.0.1,N,,ONT,,,,,50.9230219,-1.3738525,,,,,,,,,,,,
ONT_10001317317,ONT_10001317317,Default,,,254.0.0.1,N,,ONT,,,,,50.9230219,-1.3738525,,,,,,,,,,,,
ONT_10001317319,ONT_10001317319,Default,,,254.0.0.1,N,,ONT,,,,,50.9234952,-1.3715697,,,,,,,,,,,,
ONT_10001317320,ONT_10001317320,Default,,,254.0.0.1,N,,ONT,,,,,50.923567,-1.3715403,,,,,,,,,,,,
ONT_10001317321,ONT_10001317321,Default,,,254.0.0.1,N,,ONT,,,,,50.92363,-1.3715394,,,,,,,,,,,,
ONT_10001317322,ONT_10001317322,Default,,,254.0.0.1,N,,ONT,,,,,50.923702,-1.3715527,,,,,,,,,,,,
ONT_10001317366,ONT_10001317366,Default,,,254.0.0.1,N,,ONT,,,,,50.9234116,-1.3740216,,,,,,,,,,,,
ONT_10001317499,ONT_10001317499,Default,,,254.0.0.1,N,,ONT,,,,,50.9308432,-1.3737322,,,,,,,,,,,,
ONT_10001317863,ONT_10001317863,Default,,,254.0.0.1,N,,ONT,,,,,50.9249666,-1.3759464,,,,,,,,,,,,
ONT_10001317864,ONT_10001317864,Default,,,254.0.0.1,N,,ONT,,,,,50.9249666,-1.3759464,,,,,,,,,,,,
ONT_10001317981,ONT_10001317981,Default,,,254.0.0.1,N,,ONT,,,,,50.9274356,-1.3752018,,,,,,,,,,,,
ONT_10001317982,ONT_10001317982,Default,,,254.0.0.1,N,,ONT,,,,,50.9274356,-1.3752018,,,,,,,,,,,,
ONT_10001318018,ONT_10001318018,Default,,,254.0.0.1,N,,ONT,,,,,50.9250295,-1.3742808,,,,,,,,,,,,
ONT_10001318116,ONT_10001318116,Default,,,254.0.0.1,N,,ONT,,,,,50.9287148,-1.3773048,,,,,,,,,,,,
ONT_10001318154,ONT_10001318154,Default,,,254.0.0.1,N,,ONT,,,,,50.9288731,-1.3749691,,,,,,,,,,,,
ONT_10001318337,ONT_10001318337,Default,,,254.0.0.1,N,,ONT,,,,,50.9220386,-1.37258,,,,,,,,,,,,
ONT_10001318338,ONT_10001318338,Default,,,254.0.0.1,N,,ONT,,,,,50.9220402,-1.37258,,,,,,,,,,,,
ONT_10001318339,ONT_10001318339,Default,,,254.0.0.1,N,,ONT,,,,,50.9220402,-1.37258,,,,,,,,,,,,
ONT_10001318340,ONT_10001318340,Default,,,254.0.0.1,N,,ONT,,,,,50.9220386,-1.37258,,,,,,,,,,,,
ONT_10001318341,ONT_10001318341,Default,,,254.0.0.1,N,,ONT,,,,,50.9220386,-1.3725776,,,,,,,,,,,,
ONT_10001318342,ONT_10001318342,Default,,,254.0.0.1,N,,ONT,,,,,50.9220401,-1.3725775,,,,,,,,,,,,
ONT_10001318343,ONT_10001318343,Default,,,254.0.0.1,N,,ONT,,,,,50.9220386,-1.37258,,,,,,,,,,,,
ONT_10001318344,ONT_10001318344,Default,,,254.0.0.1,N,,ONT,,,,,50.9220401,-1.3725775,,,,,,,,,,,,
ONT_10001318360,ONT_10001318360,Default,,,254.0.0.1,N,,ONT,,,,,50.9238514,-1.3725893,,,,,,,,,,,,
ONT_10001318361,ONT_10001318361,Default,,,254.0.0.1,N,,ONT,,,,,50.9238514,-1.3725893,,,,,,,,,,,,
ONT_10001318362,ONT_10001318362,Default,,,254.0.0.1,N,,ONT,,,,,50.9238514,-1.3725893,,,,,,,,,,,,
ONT_10001318803,ONT_10001318803,Default,,,254.0.0.1,N,,ONT,,,,,50.9233198,-1.3740761,,,,,,,,,,,,
ONT_10015296394,ONT_10015296394,Default,,,254.0.0.1,N,,ONT,,,,,50.9289336,-1.3755915,,,,,,,,,,,,
ONT_10015300099,ONT_10015300099,Default,,,254.0.0.1,N,,ONT,,,,,50.924978,-1.3758893,,,,,,,,,,,,
ONT_10015429385,ONT_10015429385,Default,,,254.0.0.1,N,,ONT,,,,,50.9325536,-1.3705902,,,,,,,,,,,,
ONT_10015691116,ONT_10015691116,Default,,,254.0.0.1,N,,ONT,,,,,50.9243978,-1.3760641,,,,,,,,,,,,
ONT_10024437106,ONT_10024437106,Default,,,254.0.0.1,N,,ONT,,,,,50.9323176,-1.3750224,,,,,,,,,,,,
ONT_10024437338,ONT_10024437338,Default,,,254.0.0.1,N,,ONT,,,,,50.9209763,-1.3780912,,,,,,,,,,,,
ONT_10024437339,ONT_10024437339,Default,,,254.0.0.1,N,,ONT,,,,,50.921869,-1.3767521,,,,,,,,,,,,
ONT_10024437341,ONT_10024437341,Default,,,254.0.0.1,N,,ONT,,,,,50.9215639,-1.3769736,,,,,,,,,,,,
ONT_10024437354,ONT_10024437354,Default,,,254.0.0.1,N,,ONT,,,,,50.9326837,-1.3711894,,,,,,,,,,,,
ONT_10024437368,ONT_10024437368,Default,,,254.0.0.1,N,,ONT,,,,,50.9234551,-1.3758101,,,,,,,,,,,,
ONT_10024437387,ONT_10024437387,Default,,,254.0.0.1,N,,ONT,,,,,50.9245557,-1.3764641,,,,,,,,,,,,
ONT_10024437565,ONT_10024437565,Default,,,254.0.0.1,N,,ONT,,,,,50.923409,-1.3772762,,,,,,,,,,,,
