Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description,MetaData_requisition:serviceId,MetaData_requisition:serviceName,MetaData_requisition:customerId,MetaData_requisition:customerName,Asset_comment,Asset_building,Asset_floor,Asset_room,Asset_rack,Asset_rackunitheight,Asset_slot,Asset_port,Asset_region,Asset_division,Asset_department,Asset_address1,Asset_address2,Asset_city,Asset_state,Asset_zip,Asset_country,Asset_modelnumber,Asset_serialNumber,Asset_manufacturer,Asset_vendor,Asset_vendorphone,Asset_vendorfax,Asset_userlastmodified,Asset_lastmodifieddate,Asset_dateinstalled,Asset_lease,Asset_leaseexpires,Asset_supportphone,Asset_maintcontract,Asset_maintcontractexpires,Asset_username,Asset_password,Asset_enable,Asset_autoenable,Asset_connection,Asset_operatingsystem,Asset_cpu,Asset_ram,Asset_storagectrl,Asset_hdd1,Asset_hdd2,Asset_hdd3,Asset_hdd4,Asset_hdd5,Asset_hdd6,Asset_numpowersupplies,Asset_inputpower,Asset_additionalhardware,Asset_admin,Asset_snmpcommunity
SO18BPK1_POLE_5_SPL16_0,SO18BPK1_POLE_5_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92502950,'-1.37429080,,,,,,,,SO18BPK1_POLE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_5_SPL16_1,SO18BPK1_POLE_5_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92497800,'-1.37589930,,,,,,,,SO18BPK1_POLE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_6_SPL16_0,SO18BPK1_POLE_6_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92459750,'-1.37924800,,,,,,,,SO18BPK1_POLE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_6_SPL16_1,SO18BPK1_POLE_6_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.93069280,'-1.37025160,,,,,,,,SO18BPK1_POLE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_7_SPL16_0,SO18BPK1_POLE_7_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92770890,'-1.37830230,,,,,,,,SO18BPK1_POLE_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_7_SPL16_1,SO18BPK1_POLE_7_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92891500,'-1.37440930,,,,,,,,SO18BPK1_POLE_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_8_SPL16_0,SO18BPK1_POLE_8_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.93263530,'-1.37055970,,,,,,,,SO18BPK1_POLE_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_8_SPL16_1,SO18BPK1_POLE_8_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.93356990,'-1.37043320,,,,,,,,SO18BPK1_POLE_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_9_SPL16_0,SO18BPK1_POLE_9_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92741590,'-1.37657810,,,,,,,,SO18BPK1_POLE_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_9_SPL16_1,SO18BPK1_POLE_9_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92495760,'-1.37429180,,,,,,,,SO18BPK1_POLE_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_10_SPL16_0,SO18BPK1_POLE_10_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92176550,'-1.37267000,,,,,,,,SO18BPK1_POLE_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_10_SPL16_1,SO18BPK1_POLE_10_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92163100,'-1.37274300,,,,,,,,SO18BPK1_POLE_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_11_SPL16_0,SO18BPK1_POLE_11_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92125410,'-1.37782160,,,,,,,,SO18BPK1_POLE_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_11_SPL16_1,SO18BPK1_POLE_11_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92249860,'-1.37355650,,,,,,,,SO18BPK1_POLE_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_12_SPL16_0,SO18BPK1_POLE_12_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92411110,'-1.37613270,,,,,,,,SO18BPK1_POLE_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_12_SPL16_1,SO18BPK1_POLE_12_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92459850,'-1.37273150,,,,,,,,SO18BPK1_POLE_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_13_SPL16_0,SO18BPK1_POLE_13_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92721040,'-1.37782730,,,,,,,,SO18BPK1_POLE_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_13_SPL16_1,SO18BPK1_POLE_13_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.93433040,'-1.37473500,,,,,,,,SO18BPK1_POLE_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_14_SPL16_0,SO18BPK1_POLE_14_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92377160,'-1.36986750,,,,,,,,SO18BPK1_POLE_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_14_SPL16_1,SO18BPK1_POLE_14_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92591900,'-1.37079270,,,,,,,,SO18BPK1_POLE_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_15_SPL16_0,SO18BPK1_POLE_15_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92414430,'-1.37689220,,,,,,,,SO18BPK1_POLE_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_15_SPL16_1,SO18BPK1_POLE_15_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92414430,'-1.37689220,,,,,,,,SO18BPK1_POLE_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_16_SPL16_0,SO18BPK1_POLE_16_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92414430,'-1.37689220,,,,,,,,SO18BPK1_POLE_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_16_SPL16_1,SO18BPK1_POLE_16_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92381650,'-1.38033860,,,,,,,,SO18BPK1_POLE_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_17_SPL16_0,SO18BPK1_POLE_17_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92565310,'-1.37485160,,,,,,,,SO18BPK1_POLE_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_17_SPL16_1,SO18BPK1_POLE_17_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92217020,'-1.37601430,,,,,,,,SO18BPK1_POLE_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_18_SPL16_0,SO18BPK1_POLE_18_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92443060,'-1.37663230,,,,,,,,SO18BPK1_POLE_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_18_SPL16_1,SO18BPK1_POLE_18_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92657010,'-1.37146700,,,,,,,,SO18BPK1_POLE_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_19_SPL16_0,SO18BPK1_POLE_19_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92643180,'-1.37250760,,,,,,,,SO18BPK1_POLE_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_19_SPL16_1,SO18BPK1_POLE_19_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92744180,'-1.37469950,,,,,,,,SO18BPK1_POLE_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_20_SPL16_0,SO18BPK1_POLE_20_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92782140,'-1.37505010,,,,,,,,SO18BPK1_POLE_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_20_SPL16_1,SO18BPK1_POLE_20_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92825180,'-1.37481670,,,,,,,,SO18BPK1_POLE_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_21_SPL16_0,SO18BPK1_POLE_21_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92925570,'-1.37421980,,,,,,,,SO18BPK1_POLE_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_21_SPL16_1,SO18BPK1_POLE_21_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92986570,'-1.37394120,,,,,,,,SO18BPK1_POLE_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_22_SPL16_0,SO18BPK1_POLE_22_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.93037490,'-1.37330820,,,,,,,,SO18BPK1_POLE_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_22_SPL16_1,SO18BPK1_POLE_22_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.93026430,'-1.37279740,,,,,,,,SO18BPK1_POLE_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_23_SPL16_0,SO18BPK1_POLE_23_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92512200,'-1.37308020,,,,,,,,SO18BPK1_POLE_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_23_SPL16_1,SO18BPK1_POLE_23_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92530610,'-1.37219550,,,,,,,,SO18BPK1_POLE_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_24_SPL16_0,SO18BPK1_POLE_24_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92563760,'-1.37138110,,,,,,,,SO18BPK1_POLE_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_24_SPL16_1,SO18BPK1_POLE_24_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92183650,'-1.37417720,,,,,,,,SO18BPK1_POLE_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_25_SPL16_0,SO18BPK1_POLE_25_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92444030,'-1.37190310,,,,,,,,SO18BPK1_POLE_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_25_SPL16_1,SO18BPK1_POLE_25_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92441480,'-1.37130120,,,,,,,,SO18BPK1_POLE_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_26_SPL16_0,SO18BPK1_POLE_26_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92844110,'-1.36989070,,,,,,,,SO18BPK1_POLE_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_26_SPL16_1,SO18BPK1_POLE_26_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92121520,'-1.37235020,,,,,,,,SO18BPK1_POLE_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_27_SPL16_0,SO18BPK1_POLE_27_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92211660,'-1.37275070,,,,,,,,SO18BPK1_POLE_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_27_SPL16_1,SO18BPK1_POLE_27_SPL16_1,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92263800,'-1.37271520,,,,,,,,SO18BPK1_POLE_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_28_SPL16_0,SO18BPK1_POLE_28_SPL16_0,Default,SO18BPK1_CAB_1_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92444040,'-1.37343080,,,,,,,,SO18BPK1_POLE_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
